counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
235,16,23,140,57,236,5506aba84638f921bc84b125f78d5e1c600d14fb
240,16,23,141,58,238,01b52461353eb6053449457ae3930d07acc08056
241,16,23,141,59,239,9fad1dbc4887380d4cf0f118279387208eda4072
243,16,23,141,59,239,e44f4ab092b8a1294ef7f5089f938d419bd30964
244,16,23,141,59,239,3b10321c9006f2194e769ff0dcd5155ba75eaf31
256,16,24,140,60,240,716fd56f0265c6d8c437488b0abd2448a366c9aa
266,17,24,142,60,243,492813b4d255816038707363a74094e975893325
285,17,24,143,60,244,8f5ef5ae512418fc96213dfdc35a2954cb2ea067
296,17,24,143,61,245,4e66d0e0c8cfdd12e79a9809dada2939b5106154
306,17,24,143,61,245,7d5214e63ebbcfcd1df92a82f40ad7de0f5f76d8
308,17,24,143,61,245,fb5a0dca62fc954060385e6d1b52a73e1670bc72
309,17,24,143,61,245,6b182c8a18189b98f4fda868bce517f4f80c7221
310,17,24,143,61,245,1693a30449ef30d93b3c5d728a2365238645591b
324,17,24,145,63,249,4306729912b2e5fac23e33a1d4605666dd54e03f
326,17,24,145,63,249,0e43f774ddae48e3166ffb94055d884ed2f3b400
329,17,24,144,64,249,cf7ede6acc5109b894a2251ced753984cffff991
333,17,24,144,64,249,6e9f8a7fffad1bced211904d9119ccb8edbbf3ab
341,17,24,146,65,252,4c280ff2811a796373f7daf26414e67f9ab28151
347,17,24,145,66,252,958b7c8fa66ece2a888fbd7ea37914b99c092bce
351,17,24,145,66,252,2f0ef140a89213b234f84d78685edd643503ae30
353,17,24,145,66,252,f75d4ae6e54bc25516010ef6631200b5ca91117f
355,17,24,146,67,254,fe324e5c151a854e1e87a74814af678e22f81a17
356,17,24,145,68,254,075ad7237c9cef914add8a060ded6fe578ceeaee
357,17,24,144,71,256,6535fb49c0449d0e33ecfaa0f6faa6fedb1f3eea
358,17,24,144,71,256,82f6c3af24d2b17f4ea174ad0e3d639c6774ff5a
364,17,24,145,71,257,6949db379e27d8729e7f9c5cc1d3c793934cc9fc
366,17,24,145,71,257,2aaa0cad1a3c507450a994f3ebefb78a84c45fbf
367,18,24,145,71,258,5b29543a1aa3eb978ae91df509ee7308b9ffd048
368,18,24,145,71,258,8ccd2de55062db876b75ea144b75307e7aff7519
