repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto,677,1138,9,3,1,99.75814199447632
boto,934,881,18,7,2,85.84211802482605
boto,1078,737,27,10,4,77.16986513137817
boto,1187,628,36,14,5,70.82719898223877
boto,1261,554,46,18,6,67.3988938331604
boto,1304,511,55,22,8,61.941840171813965
boto,1357,458,64,25,9,58.20071220397949
boto,1399,416,73,29,10,56.00592017173767
boto,1430,385,82,32,12,54.290048122406006
boto,1473,342,92,36,13,53.09835505485535
boto,1500,315,101,40,15,51.270699977874756
boto,1522,293,110,44,16,49.39976692199707
boto,1549,266,119,47,17,48.904919147491455
boto,1573,242,128,51,19,48.13337302207947
boto,1586,229,138,55,20,46.612536907196045
boto,1600,215,147,58,22,45.32621097564697
boto,1611,204,156,62,23,45.23239707946777
boto,1626,189,165,66,24,42.33989095687866
boto,1633,182,174,69,26,42.23088502883911
boto,1649,166,184,73,27,42.716694831848145
boto,1660,155,193,77,28,41.77035593986511
boto,1670,145,202,80,30,40.28529500961304
boto,1684,131,211,84,31,39.641414165496826
boto,1693,122,221,88,33,39.58655786514282
boto,1699,116,230,92,34,39.016064167022705
boto,1701,114,239,95,35,38.98734784126282
boto,1707,108,248,99,37,38.48208689689636
boto,1714,101,257,102,38,38.44458603858948
boto,1724,91,267,106,40,37.808125019073486
boto,1728,87,276,110,41,37.88282299041748
boto,1735,80,285,114,42,38.03958201408386
boto,1738,77,294,117,44,37.24028301239014
boto,1743,72,303,121,45,37.89030909538269
boto,1750,65,313,125,46,37.74012613296509
boto,1752,63,322,128,48,36.80513596534729
boto,1757,58,331,132,49,36.533653020858765
boto,1760,55,340,136,51,36.436959981918335
boto,1760,55,349,139,52,36.165838956832886
boto,1764,51,359,143,53,37.603074073791504
boto,1767,48,368,147,55,36.26039910316467
boto,1772,43,377,150,56,36.07774591445923
boto,1775,40,386,154,57,36.345813035964966
boto,1778,37,396,158,59,35.93770694732666
boto,1780,35,405,162,60,35.393924951553345
boto,1782,33,414,165,62,35.70882606506348
boto,1783,32,423,169,63,35.554502964019775
boto,1786,29,432,172,64,35.74188280105591
boto,1787,28,442,176,66,36.282886028289795
boto,1787,28,451,180,67,35.37712097167969
boto,1789,26,460,184,69,34.80242705345154
boto,1791,24,469,187,70,35.84597206115723
boto,1795,20,478,191,71,34.725553035736084
boto,1795,20,488,195,73,34.45843195915222
boto,1795,20,497,198,74,34.7461040019989
boto,1796,19,506,202,75,34.55217099189758
boto,1797,18,515,206,77,36.16514706611633
boto,1798,17,524,209,78,34.47908401489258
boto,1801,14,534,213,80,34.68769693374634
boto,1801,14,543,217,81,35.156116008758545
boto,1802,13,552,220,82,34.529712200164795
boto,1803,12,561,224,84,35.02344298362732
boto,1804,11,571,228,85,34.59685015678406
boto,1804,11,580,232,87,34.122108936309814
boto,1804,11,589,235,88,33.50377106666565
boto,1804,11,598,239,89,33.922855854034424
boto,1804,11,607,242,91,34.52096700668335
boto,1804,11,617,246,92,34.39078998565674
boto,1805,10,626,250,93,35.0155029296875
boto,1805,10,635,254,95,34.12735104560852
boto,1806,9,644,257,96,34.51975107192993
boto,1806,9,653,261,97,34.643280029296875
boto,1807,8,663,265,99,34.35243105888367
boto,1807,8,672,268,100,34.469812870025635
boto,1809,6,681,272,102,33.30755686759949
boto,1809,6,690,276,103,33.323238134384155
boto,1810,5,699,279,104,33.20775294303894
boto,1811,4,709,283,106,33.09181213378906
boto,1812,3,718,287,107,32.76358413696289
boto,1813,2,727,290,109,33.81943488121033
boto,1813,2,736,294,110,33.65873599052429
boto,1813,2,746,298,111,33.70116591453552
boto,1813,2,755,302,113,33.770652055740356
boto,1814,1,764,305,114,33.32990598678589
boto,1814,1,773,309,115,32.852503061294556
boto,1815,0,782,312,117,32.782992124557495
boto,1815,0,792,316,118,33.73504400253296
boto,1815,0,801,320,120,33.28280210494995
boto,1815,0,810,324,121,33.64762592315674
boto,1815,0,819,327,122,33.31616282463074
boto,1815,0,828,331,124,33.3881402015686
boto,1815,0,838,335,125,34.13007402420044
boto,1815,0,847,338,127,33.93604016304016
boto,1815,0,856,342,128,32.835066080093384
boto,1815,0,865,346,129,32.68123817443848
boto,1815,0,874,349,131,32.75835299491882
boto,1815,0,884,353,132,32.65415406227112
boto,1815,0,893,357,133,32.77984285354614
boto,1815,0,902,360,135,32.883421897888184
boto,1815,0,911,364,136,33.5635871887207
boto,1815,0,921,368,138,34.006957054138184
