counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
1,1,0,0,0,1,830a52683eae75bba8fec49d6f54fbce412da693
12,3,5,7,0,15,d2c359198b71a589f7278b450164373e6ad6b6e1
17,3,5,9,2,19,249fd95d1f837cb9a694fac03c4325c27b8301a4
28,3,9,23,2,37,e2a20c6743f020e5ce5c7fffc3c67915c621fd3b
29,3,9,23,3,38,b49b7ba28e985f5bc0c5a8d2cae7314db192a041
31,4,8,24,3,39,35aa86d0ce7cae8b18922b382c2b6e683698a520
38,5,15,80,4,104,d4c6645d29125e86184b6573a76b6c40920e8e7c
40,5,15,80,6,106,c917c78fd100e1d4db5fc5b488410a5741eeb46b
44,5,19,79,7,110,0c11983f083d69c0bff2a7a4f6f092618ddfc925
45,6,18,79,7,110,cf3c762bffbc2e86ee91ed2034d0df9deb0c4b11
48,7,19,80,7,113,ded831b5104dcc145da51f9d9126925c5b821912
49,11,18,80,8,117,abb6682c1802986db87d4c19e04eecd369624963
50,11,18,80,8,117,205fb6c9a5f74b0673c80163270c8269db7822d9
52,12,18,80,8,118,ca9b3de5bc2f69ff6e54a185bec0f1443565fd00
55,12,19,80,10,121,e2b8f02cf8545f61cb950f4a7b333fb4ac7d5ffc
57,12,19,79,12,122,59ad5e21953a6d591f82def11aebd64808ab9559
59,13,19,86,14,132,9f34bfd8a3ba4616d46f7ddc0cc0010dd64a4b84
61,13,19,86,14,132,88b3ef20689a9ceefc06789e1a2e729aeb4aef5d
62,13,19,85,15,132,ca0a07f4b1b4da86e87f1839e48b9eef450f1795
72,13,20,92,16,141,a14767c4d14cb43ba66f9c85b414401a49a23060
80,14,20,96,16,146,9bf390cbd5e1d7a9d234921f8b5fdfbac2648075
87,14,22,98,16,150,b161f611081e9dc4369d53cc12957137fe6a9579
88,14,22,97,17,150,d358ee4254f48031d7109dbba09df363e212523f
98,14,23,107,19,163,33d82c59d1711cafd9ffddb55e3c3062e2f528cc
104,14,24,112,20,170,a977445fea0feb745166e7c4238cb1853db642f9
106,15,24,112,20,171,0e762624c4e6de6e6b763f0e90ffc5f77151f041
107,15,24,112,21,172,45bf3d0683bc3a0b9b87709ee09e39467bf53eb1
109,15,24,114,22,175,375054de8742fe355bdb63e1ede22f7822db36b7
110,15,24,114,22,175,31fbd86172befcedb5acaebb5486822a8951a3db
112,15,24,112,24,175,d57f87eadef99617091a9bfa6845991eb7e22804
115,15,24,112,24,175,258986e20a5143cdaab25ac1a9173f1648f97ac2
117,15,24,114,25,178,46d1024d618cb2c0652b66c49f16e7d2f0bf3f37
121,15,26,123,25,189,a3300c7b77aa2ad7fe6d4d4889d36029df60fc45
126,16,25,123,26,190,6f4d0bb6158491cc2c1d4aa28fa8658e23b2593b
129,17,25,124,26,192,d36a1371c7d5576e49c262332102df25971aca0e
130,17,25,124,27,193,6030ef859c93c6472443e0221bfcdc9c8a3466ce
133,17,25,123,28,193,ab464f99456d12a9dcc18a216849a89ffd7ede5e
135,17,25,122,29,193,c269cbe996d28fef383ab7a5dbb0b1ae6b0015af
139,17,27,138,30,212,abd3298ab6408a50fc24b92ca37c3e64fe95af01
141,17,27,138,30,212,7980e0bad3364ef3e183d28cc691e4c0658bda83
146,17,28,139,30,214,523cf41bc9e8b167856d1949fd32dd83b1b49ab4
161,18,29,145,31,223,96fb5a1eee5482b710b0c39db92c675188702206
180,19,30,148,31,228,5b093d616912d2a9b3a596186bb3044ddb168689
181,19,30,148,32,229,859f03a8e397f01fe8e371a90f59a7f1a86bb3f6
190,19,31,147,33,230,a836a0a39330e5e2ecdfd69c11f05dbfafcc7165
191,19,31,147,34,231,d3463b5f9056a54f8af1ede7c645a0a00b7f214c
193,19,31,146,35,231,0dcb8030e97df7945e7bdd021aa2b99d38cd3409
198,19,31,147,35,232,5f4673866159f178776dba1e696dc3134f4bc014
199,19,31,146,36,232,9752747e0766f1ac61180a7c086cf64b8a1ff1c1
200,20,31,146,36,233,5e55dc28b43b635e3fc243dc6f2e5295f73e4e67
212,20,31,147,36,234,a2a6a78b97b67c4237189e5db27b7ad7689cf293
222,20,31,146,37,234,73dc86b919385420e714882596a421774f2bd75a
240,20,31,149,38,238,01b52461353eb6053449457ae3930d07acc08056
242,20,31,150,38,239,230cf177697870723c520ae60e529f38bf76c787
243,20,31,150,38,239,e44f4ab092b8a1294ef7f5089f938d419bd30964
244,20,31,150,38,239,3b10321c9006f2194e769ff0dcd5155ba75eaf31
246,20,31,149,39,239,2fc6065c83aeb4105bd8b03b19299441dc7a01e8
247,20,31,149,39,239,241de2047cb5638b1b74e925fe49ff17a541734b
248,20,31,149,39,239,f4972a1c371db9dd427b49b7004534ad1783f425
255,20,31,150,39,240,1bca1500b46bc590ccb00e12a796657d5a374094
256,20,31,149,40,240,716fd56f0265c6d8c437488b0abd2448a366c9aa
266,21,31,151,40,243,492813b4d255816038707363a74094e975893325
285,21,31,152,40,244,8f5ef5ae512418fc96213dfdc35a2954cb2ea067
305,21,31,153,40,245,bd318c852258ba3098b99dc982e67bf4782bfb6f
309,22,30,153,40,245,6b182c8a18189b98f4fda868bce517f4f80c7221
324,22,30,155,42,249,4306729912b2e5fac23e33a1d4605666dd54e03f
347,22,30,157,43,252,958b7c8fa66ece2a888fbd7ea37914b99c092bce
370,22,31,163,43,259,e10d01859d48574328c056ead87813da801c439c
398,22,33,167,43,265,a47a6880801e1e85346d6858fc98c41382d9c129
411,23,32,171,43,269,5645b4f09fecb4ddaf9ac84fb367539cf85e3376
419,23,32,174,44,273,d562d17235fec217add9daf5733e5a3bf86410cf
434,23,33,189,44,289,c339e921be4bf2f464c29e8fc5d94ef5cfb1b87e
