repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto3,18,147,1,1,1,5.431891202926636
boto3,44,121,3,1,1,4.8940558433532715
boto3,52,113,4,1,1,4.748811960220337
boto3,73,92,6,2,1,4.352979898452759
boto3,72,93,7,2,1,4.422252893447876
boto3,83,82,9,3,1,4.220815896987915
boto3,97,68,10,4,2,3.996389150619507
boto3,101,64,12,4,2,3.824751138687134
boto3,106,59,14,5,2,3.720669984817505
boto3,113,52,15,6,3,3.6669139862060547
boto3,116,49,17,6,3,3.567486047744751
boto3,117,48,18,7,3,3.534870147705078
boto3,122,43,20,8,4,3.4810831546783447
boto3,124,41,21,8,4,3.459789991378784
boto3,124,41,23,9,4,3.4315638542175293
boto3,125,40,24,9,4,3.411494016647339
boto3,128,37,26,10,5,3.3434360027313232
boto3,130,35,28,11,5,3.345385789871216
boto3,130,35,29,11,5,3.367933988571167
boto3,133,32,31,12,6,3.2777259349823
boto3,135,30,32,12,6,3.24794602394104
boto3,135,30,34,13,6,3.2597079277038574
boto3,137,28,35,14,7,3.252514123916626
boto3,137,28,37,14,7,3.224280834197998
boto3,136,29,39,15,7,3.215191125869751
boto3,137,28,40,16,8,3.204272985458374
boto3,141,24,42,16,8,3.109812021255493
boto3,141,24,43,17,8,3.136760950088501
boto3,141,24,45,18,9,3.123455047607422
boto3,143,22,46,18,9,3.0750370025634766
boto3,144,21,48,19,9,3.0066640377044678
boto3,143,22,49,19,9,3.088520050048828
boto3,145,20,51,20,10,3.0090370178222656
boto3,148,17,53,21,10,2.9665579795837402
boto3,148,17,54,21,10,3.0026779174804688
boto3,149,16,56,22,11,2.982961893081665
boto3,149,16,57,22,11,2.980289936065674
boto3,150,15,59,23,11,2.9201409816741943
boto3,151,14,60,24,12,2.9116320610046387
boto3,151,14,62,24,12,2.887955904006958
boto3,152,13,63,25,12,2.8876559734344482
boto3,155,10,65,26,13,2.8548829555511475
boto3,156,9,67,26,13,2.853893995285034
boto3,156,9,68,27,13,2.8845012187957764
boto3,156,9,70,28,14,2.8453409671783447
boto3,157,8,71,28,14,2.8428189754486084
boto3,158,7,73,29,14,2.8095929622650146
boto3,159,6,74,29,14,2.745527982711792
boto3,161,4,76,30,15,2.692005157470703
boto3,161,4,78,31,15,2.7008540630340576
boto3,161,4,79,31,15,2.680448055267334
boto3,161,4,81,32,16,2.6899678707122803
boto3,161,4,82,32,16,2.7287471294403076
boto3,161,4,84,33,16,2.6959240436553955
boto3,161,4,85,34,17,2.686487913131714
boto3,161,4,87,34,17,2.6860148906707764
boto3,161,4,88,35,17,2.696712017059326
boto3,161,4,90,36,18,2.718203067779541
boto3,161,4,92,36,18,2.7354390621185303
boto3,161,4,93,37,18,2.7421720027923584
boto3,161,4,95,38,19,2.7377119064331055
boto3,161,4,96,38,19,2.7880120277404785
boto3,161,4,98,39,19,2.694511890411377
boto3,161,4,99,39,19,2.735766887664795
boto3,161,4,101,40,20,2.6921708583831787
boto3,161,4,102,40,20,2.74017596244812
boto3,161,4,104,41,20,2.7246148586273193
boto3,161,4,106,42,21,2.726362943649292
boto3,161,4,107,42,21,2.7791099548339844
boto3,161,4,109,43,21,2.7139220237731934
boto3,161,4,110,44,22,2.7684178352355957
boto3,161,4,112,44,22,2.7096779346466064
boto3,161,4,113,45,22,2.716433048248291
boto3,161,4,115,46,23,2.7383530139923096
boto3,162,3,117,46,23,2.731243133544922
boto3,162,3,118,47,23,2.670116901397705
boto3,163,2,120,48,24,2.6919620037078857
boto3,163,2,121,48,24,2.7455201148986816
boto3,163,2,123,49,24,2.8201019763946533
boto3,163,2,124,49,24,2.783353090286255
boto3,163,2,126,50,25,2.6747019290924072
boto3,163,2,127,50,25,2.721574068069458
boto3,163,2,129,51,25,2.7159509658813477
boto3,164,1,131,52,26,2.6680259704589844
boto3,164,1,132,52,26,2.632858991622925
boto3,164,1,134,53,26,2.702852964401245
boto3,164,1,135,54,27,2.7243778705596924
boto3,164,1,137,54,27,2.7120420932769775
boto3,164,1,138,55,27,2.677664041519165
boto3,164,1,140,56,28,2.711592197418213
boto3,164,1,141,56,28,2.684854030609131
boto3,165,0,143,57,28,2.6539580821990967
boto3,165,0,145,58,29,2.667178153991699
boto3,165,0,146,58,29,2.7165040969848633
boto3,165,0,148,59,29,2.68007493019104
boto3,165,0,149,59,29,2.653904914855957
boto3,165,0,151,60,30,2.664447069168091
boto3,165,0,152,60,30,2.634617805480957
boto3,165,0,154,61,30,2.627686023712158
boto3,165,0,156,62,31,2.6068480014801025
