repo_dir,hits,misses,cache_size,dtf,pfs,ttr
raspberryio,77,432,2,1,1,11.789867162704468
raspberryio,151,358,5,2,1,10.143445014953613
raspberryio,224,285,8,4,1,8.786168813705444
raspberryio,254,255,11,5,1,8.0644371509552
raspberryio,292,217,13,6,1,7.330109119415283
raspberryio,328,181,16,8,1,6.528028964996338
raspberryio,347,162,19,9,1,6.1712751388549805
raspberryio,359,150,22,11,2,5.890094995498657
raspberryio,372,137,24,12,2,5.59496808052063
raspberryio,388,121,27,13,2,5.289750099182129
raspberryio,396,113,30,15,3,5.032275915145874
raspberryio,403,106,33,16,3,5.007019996643066
raspberryio,412,97,35,17,3,4.878138065338135
raspberryio,414,95,38,19,3,4.71137809753418
raspberryio,426,83,41,20,4,4.583928108215332
raspberryio,424,85,44,22,4,4.595907926559448
raspberryio,428,81,46,23,4,4.524049997329712
raspberryio,432,77,49,24,4,4.530538082122803
raspberryio,436,73,52,26,5,4.437003135681152
raspberryio,444,65,55,27,5,4.326081037521362
raspberryio,448,61,57,28,5,4.210625886917114
raspberryio,451,58,60,30,6,4.180371046066284
raspberryio,452,57,63,31,6,4.074671030044556
raspberryio,456,53,66,33,6,4.0337231159210205
raspberryio,457,52,68,34,6,4.053515911102295
raspberryio,462,47,71,35,7,3.9852540493011475
raspberryio,465,44,74,37,7,3.8857200145721436
raspberryio,466,43,77,38,7,3.8661701679229736
raspberryio,466,43,79,39,7,3.894115924835205
raspberryio,471,38,82,41,8,3.828402042388916
raspberryio,472,37,85,42,8,3.7751548290252686
raspberryio,474,35,88,44,8,3.769867181777954
raspberryio,475,34,90,45,9,3.779052972793579
raspberryio,475,34,93,46,9,3.793390989303589
raspberryio,477,32,96,48,9,3.7054429054260254
raspberryio,478,31,99,49,9,3.643148899078369
raspberryio,483,26,101,50,10,3.4639339447021484
raspberryio,486,23,104,52,10,3.406348943710327
raspberryio,486,23,107,53,10,3.428840160369873
raspberryio,486,23,110,55,11,3.439023971557617
raspberryio,489,20,112,56,11,3.366939067840576
raspberryio,491,18,115,57,11,3.339728832244873
raspberryio,491,18,118,59,11,3.3151769638061523
raspberryio,492,17,121,60,12,3.2565829753875732
raspberryio,493,16,123,61,12,3.2310681343078613
raspberryio,493,16,126,63,12,3.2785348892211914
raspberryio,494,15,129,64,12,3.221235990524292
raspberryio,495,14,132,66,13,3.143496036529541
raspberryio,495,14,134,67,13,3.2353968620300293
raspberryio,496,13,137,68,13,3.2250149250030518
raspberryio,498,11,140,70,14,3.145282030105591
raspberryio,499,10,143,71,14,3.143808126449585
raspberryio,500,9,145,72,14,3.1481759548187256
raspberryio,500,9,148,74,14,3.143764019012451
raspberryio,501,8,151,75,15,3.157804012298584
raspberryio,501,8,154,77,15,3.10788893699646
raspberryio,502,7,156,78,15,3.102977991104126
raspberryio,501,8,159,79,15,3.084820032119751
raspberryio,501,8,162,81,16,3.1064770221710205
raspberryio,502,7,165,82,16,3.133239984512329
raspberryio,502,7,167,83,16,3.0914249420166016
raspberryio,503,6,170,85,17,3.0318329334259033
raspberryio,505,4,173,86,17,2.990341901779175
raspberryio,505,4,176,88,17,3.002174139022827
raspberryio,505,4,178,89,17,3.0337460041046143
raspberryio,507,2,181,90,18,3.0532140731811523
raspberryio,506,3,184,92,18,3.0003461837768555
raspberryio,507,2,187,93,18,3.0271189212799072
raspberryio,507,2,189,94,18,3.061131000518799
raspberryio,507,2,192,96,19,2.9585890769958496
raspberryio,507,2,195,97,19,3.044651985168457
raspberryio,507,2,198,99,19,3.0288169384002686
raspberryio,508,1,200,100,20,3.023527145385742
raspberryio,508,1,203,101,20,2.9754161834716797
raspberryio,509,0,206,103,20,2.8593809604644775
raspberryio,509,0,209,104,20,2.915692090988159
raspberryio,509,0,211,105,21,2.86960506439209
raspberryio,509,0,214,107,21,2.9553229808807373
raspberryio,509,0,217,108,21,2.9160571098327637
raspberryio,509,0,220,110,22,3.0286319255828857
raspberryio,509,0,222,111,22,3.04167103767395
raspberryio,509,0,225,112,22,3.0723090171813965
raspberryio,509,0,228,114,22,3.0562429428100586
raspberryio,509,0,231,115,23,3.010485887527466
raspberryio,509,0,233,116,23,2.983250141143799
raspberryio,509,0,236,118,23,2.962728977203369
raspberryio,509,0,239,119,23,2.948138952255249
raspberryio,509,0,242,121,24,2.9954400062561035
raspberryio,509,0,244,122,24,2.956470012664795
raspberryio,509,0,247,123,24,2.938410997390747
raspberryio,509,0,250,125,25,2.9909589290618896
raspberryio,509,0,253,126,25,3.067512035369873
raspberryio,509,0,255,127,25,2.9673190116882324
raspberryio,509,0,258,129,25,2.977268934249878
raspberryio,509,0,261,130,26,2.9068968296051025
raspberryio,509,0,264,132,26,3.0225141048431396
raspberryio,509,0,266,133,26,2.959407091140747
raspberryio,509,0,269,134,26,2.9779720306396484
raspberryio,509,0,272,136,27,2.9644460678100586
raspberryio,509,0,275,137,27,2.9148690700531006
