counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
2,2,0,1,0,3,4e8b167e4d0817b6ae93be8ad97b31bf203698d8
3,5,0,1,1,7,08572e8d125da204fab230be5d1fdcc5d8d22256
4,5,0,1,2,8,fea45eff5a2f2ad10b2788603db80e5a4fe6be06
5,5,0,1,3,9,80be597a7b2530ec0893e1d9ee8275e281f026dc
6,5,0,1,3,9,8ca35d7c6a639933927f45b439363a1614da56f1
7,9,0,1,4,14,358850781f8fd3d79aba5b1a9a0b8d28f544bf8a
8,10,0,1,4,15,a40a34a4b2d79dbf798df538c26222148d42b17c
9,10,0,1,5,16,6b28e957df364532109a1897c73a1fa8b1416bd4
11,15,0,2,5,22,70123cf084e3af7dfc61bb7bd2090ff802c3cda4
12,17,0,2,5,24,a9e29fae105d1ddd4e0ac2059cbe62b0ee348bc8
14,17,1,2,6,26,36a17be9f3cf6081f7e6f83fcfeae3d09ce8a72b
16,51,2,2,40,95,39a7eed1bbf12020a077e4bec3d82e08f171a021
17,52,2,2,40,96,767c33d1fa9827908192e8ed1ac7f281f56bd811
18,56,2,2,40,100,8714403614c4dfa37e806db4a6708b8a91a827a4
20,58,2,2,48,110,d61ebc8fed212366340b1ed6f5d7722613801459
21,58,2,2,49,111,9a4a9a8a49ed3e38f3038b8d6fc7c405256271f1
22,58,2,2,49,111,fb7d681705a92c6d510b06822450d6a94ed1623f
24,63,2,3,50,118,668d53cd125175eb708cc0af143f47b42cd42153
25,63,2,3,50,118,82f7bee1d56e1bf8ae041c6cdeb7374ea6b844de
26,65,2,3,50,120,ceaf31adfff3801f1092a215f73704e15a70e90c
27,65,2,3,52,122,ec808e807ad711b993f199f6b4165ac6d0e1125b
28,66,2,3,53,124,88c605e3e34cebd5485d286a17ac84c7b8b0faf1
29,69,2,3,54,128,c36b60836be9e78ab877566cc43dc03960ce944d
30,71,2,3,54,130,f4f0060feaee6bbd76a0d575487682bc541111e4
33,72,3,3,55,133,87d78241a2fc85e5715fb51c554fe06e91deee58
35,72,4,8,55,139,866e71140f9612e45087b8acafefa2e51ffc4a29
36,74,4,8,55,141,888c9b6429a44824078a49fb1ebacf2e950cd887
37,75,4,8,56,143,a5b225084f69e27b78fab0f2954fa9520656976e
38,76,4,8,57,145,336512fae77ec214ad6db24166b9a8676007cc09
39,76,4,8,58,146,794c3f74c32062d0f2ad021cb2af0e530b40730d
40,80,4,8,58,150,e272904ff7cc4d138e316ba2e7811666053860a4
41,80,4,7,59,150,eb9b7abb833a6d317e355265552d47e0d8f24af8
43,82,5,7,60,154,fb146193c49e4c683dc8da39d9b7c479375fdb57
44,85,4,7,66,162,fa350e2f303572ee8f9a8302dda45a12288d3d95
46,87,4,7,66,164,82c9169077a066995e3b00aac551bf1c8a89d98a
48,89,5,7,66,167,df193b3cefda982dfcd4813bf4e2ac09b1358f21
50,89,6,7,66,168,756cee46d25a52108fd7190f787a7e636962df5d
51,90,6,7,66,169,b9b8411129efe13642cef1fc6bbfc62bed717352
54,92,7,7,68,174,f66c2bdc0f056ffcbf6df121ea9132aaa0c4cadb
58,92,7,10,68,177,7b1a67cce52e5c191fbfa1bca501c6f0222db019
59,92,7,10,68,177,3ed9c7bdfe9f40d31dadb6734a5692c8b9d6d6dc
62,92,10,10,69,181,a3e89f13dfb1f22a26ead8b06b37695598a4421a
