counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
682,278,52,1942,401,2673,0d97e73d95379722b8044fa09b1c1c4ee4c0a486
683,278,52,1942,401,2673,27c839e0fce99254ad61322bb827a821f832e840
685,278,52,1942,402,2674,d3d66d47222dd8765a20a15fdc754c0ed7635404
686,281,51,1940,407,2679,b769bbd4f6a3cd1bcd9ebf3559ec6ea0f9b50565
687,281,51,1940,409,2681,9368f51e1273c56ca40e396ef5a1aa0aa7c91871
689,281,54,1940,409,2684,8b7bd62ae52313dbe96f27f21fbd63f0dd061744
691,281,54,1940,409,2684,738c0de3000c5a1e287f10ddf2f99e0c5e127250
692,281,54,1940,409,2684,4a6656488893b6a832726cade2d2c5aa04f85ae2
693,281,54,1939,410,2684,1c90a3dccadc7d2da3704ff17ac9ff1a67743934
694,281,54,1939,410,2684,e7b4bd48c7b81718cfae6f30f1868cf45311ca86
695,281,54,1939,410,2684,7f155a07032caf916518beca5b33fa5a90300209
696,281,54,1939,410,2684,73040e584a9ccc770593a3885f5fe40fda142e0d
697,281,54,1939,410,2684,34047b23e284fd3459903294a5776b67c3e33ed9
698,281,54,1939,410,2684,e75b614640c206bf6d0b1c9d32c54434ea719582
700,281,54,1939,410,2684,5ae0dd6abf8f93b90c962e62b04c675fdd6ca755
704,281,54,1940,411,2686,290ff35e6cc2580861a6fdeaaa3d4aa6d75f9edd
707,281,54,1941,412,2688,c0fff64486198ee8885f4f951399a3675f01e3cd
708,281,54,1941,412,2688,c078021555dcda6b12363b5b0646eac5332a0d86
709,282,54,1941,412,2689,6355a6d4f59eb220e05130d179beba7bb29c88af
712,282,68,1954,413,2717,bdb382b2a49de4a2426c3dde944776c1bdd08eb7
714,282,68,1958,413,2721,6364df68879efc0d9451d6427e34b4542e3d7e0b
715,283,67,1958,413,2721,b43b27bcdf84e816b886d4daf83131949708cecb
717,283,67,1958,413,2721,ad82d0003b5a3694028119bad580b090e994181e
718,283,67,1958,413,2721,60879a2193fe79b3853c60782fc4f1fdfdd55d63
719,283,67,1958,414,2722,d3e12c901777697b7bf08b25e2dd46f0b951db8c
720,283,67,1958,414,2722,b647ccfa673890d4ee30a29bb759a19e4f1a67dc
722,285,67,1958,414,2724,a50b66da30320887c23c73927f6b2ab41e0301bf
723,285,67,1958,414,2724,2e70bf37854e39d46557317fb4098da5261618d5
724,285,67,1958,414,2724,e291fc4757e952fd4f663d88adca416b016db13e
725,285,67,1958,414,2724,6c592e79e108831eba22826a346838ce05fefeb3
726,286,67,1958,414,2725,4a66a69239c493c05b322815b18c605cd4c96e7c
728,286,73,1966,414,2739,f59667c121272ba7a1161e8bc4787654d929f6f1
730,287,73,1966,429,2755,ec4f219ecb7a5e43d0353633fac4dac42d0ee492
732,287,73,1966,429,2755,9ed82154bd0bd01c6195942db84302e791ad366f
733,287,73,1966,430,2756,aef2a0ec59301022354c043744a6a2fa13583aa1
736,287,73,1966,430,2756,c0cf73a57d7f77af348aeb854e7b4f670dc3cee7
738,288,73,1966,431,2758,c31bf8cb54e591e244abc951896ef5e4a089f38d
740,288,73,1966,431,2758,4352e865a75923a0e5036b4e9ba2a8f0bfae3d63
741,288,73,1966,431,2758,9f0d67137c98aa296471e1b7f57ae43f5bb17db6
742,289,73,1965,432,2759,00a1d4d042a7afd139316982c9b57e87d26a894f
743,289,73,1965,432,2759,aabb58428beae0bd34f32e5d620a82486b670499
745,289,73,1965,433,2760,b64c0d4d613b5cabedbc9b847682fe14877537de
746,289,73,1965,433,2760,3bbaf84d6533fb61ac0038f2bbe52ee0d7b4fd10
749,289,73,1965,433,2760,b35b43dff81d46e930ffa1e05eb50968b8557102
750,289,73,1965,433,2760,839edcebb39f55acf163266f1ce1f0dc537de95b
752,289,73,1966,434,2762,b44dee16e60ff2600fee90576e5bf0083c266104
753,289,73,1966,434,2762,b535eb3fcb6768b2ee2a900c3ca7217b5aecffa6
754,289,73,1966,434,2762,11cac1bd8ef7546ca32d9969d4348bf412dc6664
755,289,73,1966,434,2762,60f795c0608119cdb02d61d3eb59f34ebdb55754
756,289,73,1966,434,2762,fedef7b2c6e80e1e58b028cf9c03267a8950bf6f
757,289,73,1966,436,2764,9a5cfa05a0d889db9daa7872a9697daa883f3609
758,289,73,1966,438,2766,30a152a367541a0b815ab84b3da407700feff744
759,289,73,1966,439,2767,61f3e22e38516d8284a45e2b2792a61d541f9e78
761,289,73,1966,439,2767,c6cce4de38662d49d5eaaf197b62937f6ce25be7
762,289,73,1966,441,2769,a570701e02e0bc09d977c8ae0b6ee987a1190039
763,289,73,1966,441,2769,c0c7fa4837c85bc510462f0be3882c6220dce728
