repo_dir,hits,misses,cache_size,dtf,ttr
boto3,10,154,1,1,10.87312388420105
boto3,28,136,3,1,10.389218091964722
boto3,44,120,4,1,9.838079929351807
boto3,65,99,6,1,9.433609962463379
boto3,68,96,7,1,9.175473928451538
boto3,78,86,9,1,8.936311960220337
boto3,84,80,10,2,8.11710000038147
boto3,91,73,12,2,8.671074151992798
boto3,95,69,13,2,7.781682014465332
boto3,101,63,15,3,7.6795690059661865
boto3,109,55,17,3,7.426433086395264
boto3,112,52,18,3,7.6796300411224365
boto3,115,49,20,4,7.590331792831421
boto3,119,45,21,4,7.591766834259033
boto3,123,41,23,4,7.593414068222046
boto3,123,41,24,4,7.4903199672698975
boto3,125,39,26,5,7.251122951507568
boto3,125,39,27,5,6.898863077163696
boto3,128,36,29,5,6.398872137069702
boto3,129,35,31,6,6.377289056777954
boto3,130,34,32,6,7.624262809753418
boto3,130,34,34,6,7.55401086807251
boto3,131,33,35,7,7.648997068405151
boto3,134,30,37,7,6.289773941040039
boto3,135,29,38,7,6.562601089477539
boto3,135,29,40,8,7.223844051361084
boto3,135,29,41,8,7.507735013961792
boto3,137,27,43,8,7.483325958251953
boto3,137,27,44,8,7.400271892547607
boto3,137,27,46,9,7.587639808654785
boto3,141,23,48,9,6.963675022125244
boto3,135,29,49,9,7.167875051498413
boto3,137,27,51,10,7.0722410678863525
boto3,137,27,52,10,7.074197053909302
boto3,140,24,54,10,7.182729005813599
boto3,142,22,55,11,6.968569993972778
boto3,138,26,57,11,7.171074151992798
boto3,139,25,58,11,7.103344917297363
boto3,139,25,60,12,7.175414800643921
boto3,139,25,62,12,7.068709135055542
boto3,139,25,63,12,7.099797964096069
boto3,141,23,65,13,7.08112907409668
boto3,142,22,66,13,7.0644800662994385
boto3,143,21,68,13,6.945888042449951
boto3,144,20,69,13,6.940320014953613
boto3,146,18,71,14,6.7178850173950195
boto3,147,17,72,14,6.796191930770874
boto3,147,17,74,14,6.936007022857666
boto3,147,17,75,15,6.865900993347168
boto3,148,16,77,15,6.817312002182007
boto3,149,15,79,15,6.825145959854126
boto3,148,16,80,16,6.880838871002197
boto3,150,14,82,16,6.801407098770142
boto3,151,13,83,16,6.80639386177063
boto3,152,12,85,17,6.816097974777222
boto3,152,12,86,17,6.690546989440918
boto3,152,12,88,17,6.672333002090454
boto3,152,12,89,17,6.795788049697876
boto3,152,12,91,18,6.7405359745025635
boto3,152,12,93,18,6.78234601020813
boto3,152,12,94,18,6.8705198764801025
boto3,152,12,96,19,6.705836057662964
boto3,152,12,97,19,6.643295049667358
boto3,152,12,99,19,6.635299921035767
boto3,153,11,100,20,6.673525094985962
boto3,153,11,102,20,6.678289890289307
boto3,153,11,103,20,6.752142906188965
boto3,153,11,105,21,6.670953989028931
boto3,153,11,106,21,6.592822074890137
boto3,154,10,108,21,6.6275248527526855
boto3,154,10,110,22,6.611923933029175
boto3,154,10,111,22,6.700402021408081
boto3,154,10,113,22,6.742696046829224
boto3,154,10,114,22,6.69885778427124
boto3,156,8,116,23,6.643512964248657
boto3,156,8,117,23,6.646397113800049
boto3,157,7,119,23,6.62303614616394
boto3,158,6,120,24,6.583559036254883
boto3,159,5,122,24,6.572149991989136
boto3,159,5,124,24,6.568218946456909
boto3,159,5,125,25,6.5608909130096436
boto3,159,5,127,25,6.568192005157471
boto3,159,5,128,25,6.580470085144043
boto3,159,5,130,26,6.508666038513184
boto3,159,5,131,26,6.534160852432251
boto3,159,5,133,26,6.602138042449951
boto3,159,5,134,26,6.5670201778411865
boto3,159,5,136,27,6.523905992507935
boto3,159,5,137,27,6.577817916870117
boto3,159,5,139,27,6.507572889328003
boto3,160,4,141,28,6.517475128173828
boto3,160,4,142,28,6.491260051727295
boto3,160,4,144,28,6.406310081481934
boto3,160,4,145,29,6.4903481006622314
boto3,160,4,147,29,6.513458967208862
boto3,160,4,148,29,6.429046154022217
boto3,160,4,150,30,6.472765922546387
boto3,160,4,151,30,6.506778001785278
boto3,160,4,153,30,6.501522064208984
boto3,160,4,155,31,6.3456480503082275
