repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto3,12,153,1,1,1,16.85633897781372
boto3,22,143,3,1,1,16.484965085983276
boto3,27,138,4,1,1,16.650300979614258
boto3,43,122,6,1,1,16.438173055648804
boto3,53,112,7,1,2,16.30618190765381
boto3,63,102,9,2,2,16.167098999023438
boto3,67,98,10,2,3,16.099651098251343
boto3,77,88,12,3,3,15.933197975158691
boto3,81,84,14,3,4,15.887324810028076
boto3,85,80,15,3,4,15.845262050628662
boto3,92,73,17,4,5,15.752349138259888
boto3,94,71,18,4,5,15.76616096496582
boto3,102,63,20,5,6,15.66814398765564
boto3,104,61,21,5,6,15.630538940429688
boto3,76,89,23,5,6,15.939187049865723
boto3,78,87,24,6,7,15.907274007797241
boto3,83,82,26,6,7,15.87747597694397
boto3,84,81,28,7,8,15.884011030197144
boto3,88,77,29,7,8,15.817872047424316
boto3,89,76,31,7,9,15.812374114990234
boto3,91,74,32,8,9,15.736800909042358
boto3,92,73,34,8,10,15.800374031066895
boto3,92,73,35,8,10,15.792574167251587
boto3,92,73,37,9,11,15.793720006942749
boto3,92,73,39,9,11,15.7882719039917
boto3,95,70,40,10,12,15.74507212638855
boto3,96,69,42,10,12,15.708761930465698
boto3,98,67,43,10,12,15.700233936309814
boto3,104,61,45,11,13,15.60663390159607
boto3,104,61,46,11,13,15.645035982131958
boto3,106,59,48,12,14,15.60872507095337
boto3,107,58,49,12,14,15.56983494758606
boto3,109,56,51,12,15,15.559098958969116
boto3,110,55,53,13,15,15.569356918334961
boto3,112,53,54,13,16,15.561716079711914
boto3,111,54,56,14,16,15.595218896865845
boto3,113,52,57,14,17,15.55618405342102
boto3,113,52,59,14,17,15.53406810760498
boto3,111,54,60,15,18,15.633203983306885
boto3,115,50,62,15,18,15.348845958709717
boto3,114,51,63,15,18,15.579138994216919
boto3,116,49,65,16,19,15.58434510231018
boto3,115,50,67,16,20,15.562198162078857
boto3,118,47,68,17,20,15.52315902709961
boto3,118,47,70,17,21,15.508105039596558
boto3,120,45,71,17,21,15.484537839889526
boto3,121,44,73,18,21,15.485939979553223
boto3,122,43,74,18,22,15.505760192871094
boto3,122,43,76,19,22,15.485532999038696
boto3,124,41,78,19,23,15.455574035644531
boto3,122,43,79,19,23,15.56763505935669
boto3,126,39,81,20,24,15.49500584602356
boto3,129,36,82,20,24,15.423354864120483
boto3,132,33,84,21,25,15.350953102111816
boto3,129,36,85,21,25,15.391695022583008
boto3,129,36,87,21,26,15.359251976013184
boto3,129,36,88,22,26,15.36940598487854
boto3,132,33,90,22,27,15.414987087249756
boto3,129,36,92,23,27,15.235507011413574
boto3,131,34,93,23,27,15.371622085571289
boto3,129,36,95,23,28,15.336586952209473
boto3,129,36,96,24,28,15.376439094543457
boto3,129,36,98,24,29,15.34959602355957
boto3,129,36,99,24,29,15.356122016906738
boto3,130,35,101,25,30,15.361768007278442
boto3,129,36,102,25,30,15.322590827941895
boto3,131,34,104,26,31,15.305845022201538
boto3,135,30,106,26,31,15.27622103691101
boto3,134,31,107,26,32,15.308687925338745
boto3,137,28,109,27,32,15.320628881454468
boto3,137,28,110,27,33,15.290068864822388
boto3,141,24,112,28,33,15.244508028030396
boto3,139,26,113,28,33,15.259953022003174
boto3,140,25,115,28,34,15.233190059661865
boto3,142,23,117,29,35,15.210911989212036
boto3,141,24,118,29,35,15.241759061813354
boto3,141,24,120,30,36,15.248826026916504
boto3,143,22,121,30,36,15.330857038497925
boto3,141,24,123,30,36,15.045947790145874
boto3,139,26,124,31,37,15.287613868713379
boto3,145,20,126,31,37,15.236716985702515
boto3,144,21,127,31,38,15.207422018051147
boto3,143,22,129,32,38,15.559031963348389
boto3,144,21,131,32,39,15.244781970977783
boto3,143,22,132,33,39,15.251919984817505
boto3,144,21,134,33,40,15.20048999786377
boto3,144,21,135,33,40,15.23995304107666
boto3,144,21,137,34,41,15.223244190216064
boto3,144,21,138,34,41,15.246670961380005
boto3,144,21,140,35,42,15.245322942733765
boto3,144,21,141,35,42,15.216882944107056
boto3,143,22,143,35,42,15.245406866073608
boto3,143,22,145,36,43,15.233675956726074
boto3,144,21,146,36,43,15.253090858459473
boto3,144,21,148,37,44,15.251718997955322
boto3,144,21,149,37,44,15.245100975036621
boto3,144,21,151,37,45,15.20408582687378
boto3,145,20,152,38,45,15.084954977035522
boto3,144,21,154,38,46,15.2517831325531
boto3,144,21,156,39,46,15.263741970062256
