counter,true_positive,false_positive,true_negative,false_negative
1,0,0,1,0
2,1,0,0,1
3,1,1,0,1
4,1,1,0,1
5,1,1,0,1
6,1,2,0,1
7,1,2,0,1
8,1,2,0,1
9,2,1,0,1
10,2,1,0,1
11,2,1,0,1
12,3,0,0,1
13,3,0,0,1
14,3,0,0,1
15,3,0,0,1
16,3,0,0,1
17,3,0,0,1
18,3,0,0,1
19,3,0,0,1
20,3,0,0,1
21,3,0,0,1
22,3,0,0,1
23,3,0,0,1
24,3,1,0,1
25,3,1,0,1
26,3,1,0,1
27,3,1,0,1
28,3,1,0,1
29,3,1,0,1
30,3,1,0,1
31,3,1,0,1
32,3,1,0,2
33,3,2,0,2
34,3,2,0,2
