repo_dir,hits,misses,cache_size,dtf,ttr
boto,2208,307,184,27,101.5708429813385
boto,2216,299,188,28,101.26412582397461
boto,2225,290,193,28,100.39634299278259
boto,2240,275,198,29,99.44935297966003
boto,2242,273,202,30,99.54448199272156
boto,2253,262,207,31,98.71236801147461
boto,2259,256,211,31,97.66243815422058
boto,2265,250,216,32,97.79729795455933
boto,2274,241,221,33,96.92537307739258
boto,2282,233,225,33,96.13586807250977
boto,2255,260,230,34,99.90290117263794
boto,2257,258,234,35,99.76701712608337
boto,2228,287,239,35,102.3942129611969
boto,2233,282,244,36,102.25717806816101
boto,2240,275,248,37,101.62737584114075
boto,2243,272,253,37,101.18937301635742
boto,2249,266,257,38,100.36208605766296
boto,2252,263,262,39,100.39766693115234
boto,2258,257,267,40,100.1129560470581
boto,2261,254,271,40,99.9934458732605
boto,2263,252,276,41,98.98296594619751
boto,2266,249,280,42,98.47686505317688
boto,2270,245,285,42,98.47648000717163
boto,2269,246,290,43,99.09769892692566
boto,2275,240,294,44,98.09321594238281
boto,2283,232,299,44,96.37098789215088
boto,2285,230,303,45,97.64601516723633
boto,2288,227,308,46,96.68461108207703
boto,2140,375,313,46,104.72754502296448
boto,2146,369,317,47,104.78174495697021
boto,2149,366,322,48,104.4045660495758
boto,2154,361,326,48,103.36079096794128
boto,2163,352,331,49,103.75839400291443
boto,2165,350,336,50,103.00997710227966
boto,2167,348,340,51,102.97583508491516
boto,2171,344,345,51,102.64691495895386
boto,2175,340,349,52,101.70631003379822
boto,2182,333,354,53,101.31469893455505
boto,2190,325,359,53,101.38286805152893
boto,2195,320,363,54,101.14881420135498
boto,2197,318,368,55,100.30161094665527
boto,2200,315,373,55,100.80382704734802
boto,2204,311,377,56,100.57710409164429
boto,2211,304,382,57,99.84054398536682
boto,2213,302,386,57,99.45547795295715
boto,2222,293,391,58,98.22793698310852
boto,2224,291,396,59,98.28779196739197
boto,2228,287,400,60,98.32260298728943
boto,2232,283,405,60,98.66688203811646
boto,2235,280,409,61,97.92108297348022
