repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto,566,1956,9,1,1,174.5221288204193
boto,778,1744,18,3,2,163.18182396888733
boto,920,1602,27,5,4,158.43785309791565
boto,1056,1466,36,7,5,152.77787899971008
boto,1143,1379,46,9,6,146.3189239501953
boto,1182,1340,55,11,8,145.63892602920532
boto,1233,1289,64,12,9,142.7796928882599
boto,1293,1229,73,14,10,138.55390000343323
boto,1330,1192,82,16,12,137.95644807815552
boto,1362,1160,92,18,13,136.70177602767944
boto,1403,1119,101,20,15,136.06165313720703
boto,1442,1080,110,22,16,132.31558895111084
boto,1459,1063,119,23,17,133.68723797798157
boto,1500,1022,128,25,19,128.09162712097168
boto,1549,973,138,27,20,127.12694191932678
boto,1578,944,147,29,22,117.31146597862244
boto,1609,913,156,31,23,116.83817386627197
boto,1634,888,165,33,24,116.87966299057007
boto,1646,876,174,34,26,114.61098289489746
boto,1688,834,184,36,27,113.64294195175171
boto,1670,852,193,38,28,116.40386915206909
boto,1728,794,202,40,30,110.86859011650085
boto,1737,785,211,42,31,110.14273595809937
boto,1754,768,221,44,33,107.99758911132812
boto,1759,763,230,46,34,109.92315196990967
boto,1797,725,239,47,35,108.03392100334167
boto,1808,714,248,49,37,106.44328689575195
boto,1801,721,257,51,38,106.04350185394287
boto,1830,692,267,53,40,105.91018080711365
boto,1843,679,276,55,41,102.94488096237183
boto,1864,658,285,57,42,101.81558299064636
boto,1872,650,294,58,44,102.1737790107727
boto,1882,640,303,60,45,100.27694892883301
boto,1909,613,313,62,46,99.66020798683167
boto,1917,605,322,64,48,99.76821708679199
boto,1945,577,331,66,49,98.55143308639526
boto,1920,602,340,68,51,98.01398086547852
boto,1924,598,349,69,52,100.04140591621399
boto,1963,559,359,71,53,95.45713090896606
boto,1999,523,368,73,55,92.86696815490723
boto,1975,547,377,75,56,96.54597592353821
boto,1992,530,386,77,57,94.73860788345337
boto,2008,514,396,79,59,93.89311981201172
boto,2015,507,405,81,60,93.1934289932251
boto,2041,481,414,82,62,92.38207697868347
boto,2026,496,423,84,63,92.65953493118286
boto,2056,466,432,86,64,90.11095309257507
boto,2054,468,442,88,66,90.53875184059143
boto,2071,451,451,90,67,88.96922206878662
boto,2077,445,460,92,69,89.53850293159485
boto,2098,424,469,93,70,87.47456288337708
boto,2092,430,478,95,71,88.20588612556458
boto,2099,423,488,97,73,87.91388297080994
boto,2089,433,497,99,74,88.60685992240906
boto,2110,412,506,101,75,86.11692714691162
boto,2103,419,515,103,77,87.06937909126282
boto,2123,399,524,104,78,86.3695900440216
boto,2112,410,534,106,80,88.11498808860779
boto,2130,392,543,108,81,86.69412398338318
boto,2145,377,552,110,82,84.38084292411804
boto,2150,372,561,112,84,85.00029015541077
boto,2121,401,571,114,85,88.50595092773438
boto,2161,361,580,116,87,84.8125569820404
boto,2155,367,589,117,88,85.3772828578949
boto,2177,345,598,119,89,83.01908087730408
boto,2187,335,607,121,91,82.65415787696838
boto,2178,344,617,123,92,82.77151203155518
boto,2183,339,626,125,93,83.97446799278259
boto,2175,347,635,127,95,85.7956428527832
boto,2203,319,644,128,96,81.40055298805237
boto,2195,327,653,130,97,84.229238986969
boto,2198,324,663,132,99,81.50170087814331
boto,2185,337,672,134,100,84.2319860458374
boto,2191,331,681,136,102,82.56662011146545
boto,2234,288,690,138,103,79.67638397216797
boto,2220,302,699,139,104,81.12993311882019
boto,2211,311,709,141,106,82.70819902420044
boto,2235,287,718,143,107,79.69006204605103
boto,2202,320,727,145,109,82.35601878166199
boto,2257,265,736,147,110,78.22786402702332
boto,2249,273,746,149,111,79.35474896430969
boto,2243,279,755,151,113,79.91524600982666
boto,2256,266,764,152,114,78.67624402046204
boto,2239,283,773,154,115,84.86422109603882
boto,2251,271,782,156,117,86.36943292617798
boto,2257,265,792,158,118,85.8364770412445
boto,2261,261,801,160,120,85.33154511451721
boto,2255,267,810,162,121,83.72712397575378
boto,2280,242,819,163,122,82.4672338962555
boto,2266,256,828,165,124,83.30426478385925
boto,2299,223,838,167,125,80.74081206321716
boto,2279,243,847,169,127,83.06857180595398
boto,2295,227,856,171,128,81.25744485855103
boto,2301,221,865,173,129,81.00758099555969
boto,2279,243,874,174,131,83.17938804626465
boto,2293,229,884,176,132,81.24190616607666
boto,2313,209,893,178,133,79.95808005332947
boto,2313,209,902,180,135,81.62718391418457
boto,2323,199,911,182,136,81.04048991203308
boto,2323,199,921,184,138,79.35170388221741
