repo_dir,hits,misses,cache_size,dtf,ttr
boto,2217,298,184,18,102.29606580734253
boto,2226,289,188,18,101.53681421279907
boto,2234,281,193,19,100.65703701972961
boto,2246,269,198,19,99.81418204307556
boto,2247,268,202,20,99.82011795043945
boto,2260,255,207,20,98.95342993736267
boto,2266,249,211,21,98.85837602615356
boto,2272,243,216,21,98.7644670009613
boto,2281,234,221,22,97.98287296295166
boto,2290,225,225,22,97.20799708366394
boto,2294,221,230,23,97.55799102783203
boto,2296,219,234,23,97.1595709323883
boto,2303,212,239,23,96.40114092826843
boto,2307,208,244,24,95.91689586639404
boto,2314,201,248,24,94.94932198524475
boto,2241,274,253,25,103.14639091491699
boto,2246,269,257,25,102.44491696357727
boto,2251,264,262,26,102.28880405426025
boto,2256,259,267,26,101.67109179496765
boto,2261,254,271,27,101.65517497062683
boto,2263,252,276,27,101.29278492927551
boto,2266,249,280,28,100.68458390235901
boto,2269,246,285,28,100.00177597999573
boto,2270,245,290,29,100.33241200447083
boto,2277,238,294,29,99.44658398628235
boto,2282,233,299,29,99.35821604728699
boto,2284,231,303,30,98.70496082305908
boto,2288,227,308,30,98.59885096549988
boto,2140,375,313,31,106.21221494674683
boto,2146,369,317,31,104.20939993858337
boto,2149,366,322,32,104.07645797729492
boto,2154,361,326,32,104.97748494148254
boto,2163,352,331,33,104.92807698249817
boto,2165,350,336,33,104.8698160648346
boto,2167,348,340,34,104.67506694793701
boto,2171,344,345,34,103.86892509460449
boto,2175,340,349,34,103.86978197097778
boto,2183,332,354,35,103.48334789276123
boto,2190,325,359,35,102.37868118286133
boto,2195,320,363,36,102.35226798057556
boto,2197,318,368,36,101.87753510475159
boto,2200,315,373,37,101.62004709243774
boto,2204,311,377,37,101.54747295379639
boto,2211,304,382,38,100.61094093322754
boto,2213,302,386,38,101.21503496170044
boto,2222,293,391,39,99.83078694343567
boto,2224,291,396,39,100.69698691368103
boto,2228,287,400,40,99.97802209854126
boto,2232,283,405,40,99.54219698905945
boto,2235,280,409,40,99.02396416664124
