repo_dir,hits,misses,cache_size,dtf,ttr
boto,839,1676,9,2,228.8860948085785
boto,1175,1340,18,4,193.78041911125183
boto,1386,1129,27,6,172.54152297973633
boto,1509,1006,36,9,160.6478409767151
boto,1613,902,46,11,154.35951805114746
boto,1714,801,55,13,141.4476089477539
boto,1767,748,64,16,140.05456280708313
boto,1835,680,73,18,136.5017330646515
boto,1893,622,82,20,130.62579679489136
boto,1934,581,92,23,127.5956289768219
boto,1969,546,101,25,125.44007396697998
boto,1996,519,110,27,122.6025390625
boto,2044,471,119,29,118.47523093223572
boto,2065,450,128,32,117.93400382995605
boto,2098,417,138,34,114.98068284988403
boto,2117,398,147,36,113.06500601768494
boto,2144,371,156,39,110.85800290107727
boto,2178,337,165,41,107.57348895072937
boto,2192,323,174,43,103.31946802139282
boto,2210,305,184,46,101.35093402862549
boto,2228,287,193,48,103.99262499809265
boto,2243,272,202,50,100.5610899925232
boto,2259,256,211,52,101.40026307106018
boto,2274,241,221,55,100.71719312667847
boto,2255,260,230,57,103.94788980484009
