repo_dir,hits,misses,cache_size,dtf,pfs,ttr
boto,824,1693,9,2,2,532.5278108119965
boto,871,1646,18,4,5,531.0751690864563
boto,1026,1491,27,6,8,523.4410800933838
boto,1148,1369,36,9,10,516.1530849933624
boto,1252,1265,46,11,13,510.5587818622589
boto,1348,1169,55,13,16,504.64713191986084
boto,1419,1098,64,16,19,499.7860760688782
boto,1477,1040,73,18,21,495.6607918739319
boto,1540,977,82,20,24,491.51599407196045
boto,1613,904,92,23,27,486.5553550720215
boto,1650,867,101,25,30,484.5155940055847
boto,1701,816,110,27,33,481.3900480270386
boto,1742,775,119,29,35,479.1790421009064
boto,1762,755,128,32,38,478.62889194488525
boto,1787,730,138,34,41,477.1799671649933
boto,1801,716,147,36,44,477.0259919166565
boto,1824,693,156,39,46,475.3079559803009
boto,1859,658,165,41,49,473.71117997169495
boto,1878,639,174,43,52,472.82539796829224
boto,1892,625,184,46,55,471.4022719860077
boto,1905,612,193,48,57,470.56126594543457
boto,1924,593,202,50,60,469.6326379776001
boto,1946,571,211,52,63,469.1988639831543
boto,1969,548,221,55,66,468.1349449157715
boto,1981,536,230,57,69,467.3187689781189
boto,1997,520,239,59,71,466.1358709335327
boto,1997,520,248,62,74,465.84503197669983
boto,2016,501,257,64,77,468.9196000099182
boto,2037,480,267,66,80,471.5231668949127
boto,2050,467,276,69,82,462.2156479358673
boto,2058,459,285,71,85,461.5549318790436
boto,2062,455,294,73,88,461.21408200263977
boto,2063,454,303,75,90,461.1238329410553
boto,2072,445,313,78,93,460.5753951072693
boto,2083,434,322,80,96,460.34589099884033
boto,2083,434,331,82,99,459.2400689125061
boto,2096,421,340,85,102,458.7753508090973
boto,2103,414,349,87,104,458.5343191623688
boto,2114,403,359,89,107,457.9482989311218
boto,2121,396,368,92,110,457.9333429336548
boto,2128,389,377,94,113,457.4879660606384
boto,2131,386,386,96,115,457.86436200141907
boto,2135,382,396,99,118,457.4562110900879
boto,2135,382,405,101,121,457.1624779701233
boto,2143,374,414,103,124,457.1550998687744
boto,2148,369,423,105,126,456.51400995254517
boto,2153,364,432,108,129,456.77035307884216
boto,2160,357,442,110,132,456.0910499095917
boto,2158,359,451,112,135,456.4340419769287
boto,2167,350,460,115,138,455.9573230743408
boto,2169,348,469,117,140,456.41684889793396
boto,2179,338,478,119,143,456.38684701919556
boto,2184,333,488,122,146,455.9482629299164
boto,2187,330,497,124,149,455.8434271812439
boto,2195,322,506,126,151,455.93355083465576
boto,2196,321,515,128,154,455.01394295692444
boto,2201,316,524,131,157,455.07986283302307
boto,2207,310,534,133,160,455.283084154129
boto,2209,308,543,135,162,454.9374289512634
boto,2215,302,552,138,165,456.2119960784912
boto,2219,298,561,140,168,456.4568078517914
boto,2224,293,571,142,171,454.68688917160034
boto,2223,294,580,145,174,454.7608070373535
boto,2230,287,589,147,176,454.28380703926086
boto,2232,285,598,149,179,454.0536539554596
boto,2240,277,607,151,182,454.2392809391022
boto,2246,271,617,154,185,453.23837018013
boto,2243,274,626,156,187,453.5826778411865
boto,2253,264,635,158,190,453.5289349555969
boto,2252,265,644,161,193,453.85739278793335
boto,2261,256,653,163,195,453.90120697021484
boto,2268,249,663,165,198,453.6332759857178
boto,2278,239,672,168,201,453.2965750694275
boto,2281,236,681,170,204,453.01250195503235
boto,2287,230,690,172,207,452.64492201805115
boto,2288,229,699,174,209,452.7592580318451
boto,2288,229,709,177,212,452.4736649990082
boto,2290,227,718,179,215,452.6213619709015
boto,2294,223,727,181,218,452.6275749206543
boto,2294,223,736,184,220,452.4869089126587
boto,2299,218,746,186,223,452.2186770439148
boto,2306,211,755,188,226,452.56586718559265
boto,2315,202,764,191,229,452.1279978752136
boto,2314,203,773,193,231,452.3243160247803
boto,2321,196,782,195,234,452.15129494667053
boto,2328,189,792,198,237,452.1789970397949
boto,2325,192,801,200,240,451.5633509159088
boto,2330,187,810,202,243,451.668114900589
boto,2333,184,819,204,245,451.56984996795654
boto,2342,175,828,207,248,451.26350712776184
boto,2340,177,838,209,251,451.217707157135
boto,2343,174,847,211,254,451.9366669654846
boto,2345,172,856,214,256,451.37455701828003
boto,2348,169,865,216,259,451.3665461540222
boto,2350,167,874,218,262,451.2541220188141
boto,2347,170,884,221,265,451.44053077697754
boto,2351,166,893,223,267,451.0154809951782
boto,2356,161,902,225,270,451.10937881469727
boto,2355,162,911,227,273,452.8176438808441
boto,2356,161,921,230,276,451.25030612945557
