repo_dir,hits,misses,cache_size,dtf,pfs,ttr
raspberryio,28,162,2,1,1,6.359668016433716
raspberryio,61,129,5,1,1,5.560529947280884
raspberryio,73,117,8,1,1,5.269330024719238
raspberryio,88,102,11,2,2,5.078510999679565
raspberryio,89,101,13,2,2,5.037086009979248
raspberryio,105,85,16,3,3,4.70986795425415
raspberryio,114,76,19,3,3,4.599842071533203
raspberryio,128,62,22,4,4,4.390323162078857
raspberryio,130,60,24,4,4,4.312016010284424
raspberryio,140,50,27,5,5,3.999673843383789
raspberryio,144,46,30,6,6,3.9740729331970215
raspberryio,147,43,33,6,6,3.9756839275360107
raspberryio,151,39,35,7,7,3.820747137069702
raspberryio,153,37,38,7,7,3.764760971069336
raspberryio,159,31,41,8,8,3.6551098823547363
raspberryio,159,31,44,8,8,3.7156260013580322
raspberryio,161,29,46,9,9,3.6191887855529785
raspberryio,162,28,49,9,9,3.6061928272247314
raspberryio,167,23,52,10,10,3.582029104232788
raspberryio,166,24,55,11,11,3.5028889179229736
raspberryio,167,23,57,11,11,3.484283924102783
raspberryio,169,21,60,12,12,3.5021910667419434
raspberryio,171,19,63,12,12,3.455314874649048
raspberryio,172,18,66,13,13,3.4105308055877686
raspberryio,175,15,68,13,13,3.4071550369262695
raspberryio,175,15,71,14,14,3.395672082901001
raspberryio,175,15,74,14,14,3.4415271282196045
raspberryio,177,13,77,15,15,3.3570969104766846
raspberryio,178,12,79,15,15,3.3597261905670166
raspberryio,179,11,82,16,16,3.3316810131073
raspberryio,179,11,85,17,17,3.2975409030914307
raspberryio,179,11,88,17,17,3.32533597946167
raspberryio,179,11,90,18,18,3.3446128368377686
raspberryio,181,9,93,18,18,3.3382911682128906
raspberryio,184,6,96,19,19,3.2400691509246826
raspberryio,185,5,99,19,19,3.233942985534668
raspberryio,186,4,101,20,20,3.20876407623291
raspberryio,186,4,104,20,20,3.243427038192749
raspberryio,186,4,107,21,21,3.1848831176757812
raspberryio,186,4,110,22,22,3.1726489067077637
raspberryio,185,5,112,22,22,3.2832908630371094
raspberryio,185,5,115,23,23,3.2141330242156982
raspberryio,186,4,118,23,23,3.1908040046691895
raspberryio,188,2,121,24,24,3.1997718811035156
raspberryio,188,2,123,24,24,3.2037367820739746
raspberryio,188,2,126,25,25,3.1736531257629395
raspberryio,188,2,129,25,25,3.149139881134033
raspberryio,188,2,132,26,26,3.181910991668701
raspberryio,188,2,134,26,26,3.2192740440368652
raspberryio,189,1,137,27,27,3.2162749767303467
raspberryio,190,0,140,28,28,3.1270909309387207
raspberryio,189,1,143,28,28,3.1498100757598877
raspberryio,190,0,145,29,29,3.211155891418457
raspberryio,190,0,148,29,29,3.143362045288086
raspberryio,190,0,151,30,30,3.136606216430664
raspberryio,190,0,154,30,30,3.107469081878662
raspberryio,190,0,156,31,31,3.1551671028137207
raspberryio,190,0,159,31,31,3.1359410285949707
raspberryio,190,0,162,32,32,3.1527819633483887
raspberryio,190,0,165,33,33,3.140087842941284
raspberryio,190,0,167,33,33,3.1180479526519775
raspberryio,190,0,170,34,34,3.139817953109741
raspberryio,190,0,173,34,34,3.133127212524414
raspberryio,190,0,176,35,35,3.1476809978485107
raspberryio,190,0,178,35,35,3.1367170810699463
raspberryio,190,0,181,36,36,3.101958990097046
raspberryio,190,0,184,36,36,3.0901010036468506
raspberryio,190,0,187,37,37,3.0855679512023926
raspberryio,190,0,189,37,37,3.081037998199463
raspberryio,190,0,192,38,38,3.0893728733062744
raspberryio,190,0,195,39,39,3.0920209884643555
raspberryio,190,0,198,39,39,3.0981860160827637
raspberryio,190,0,200,40,40,3.1296770572662354
raspberryio,190,0,203,40,40,3.1225128173828125
raspberryio,190,0,206,41,41,3.1703929901123047
raspberryio,190,0,209,41,41,3.13250994682312
raspberryio,190,0,211,42,42,3.177870988845825
raspberryio,190,0,214,42,42,3.177544116973877
raspberryio,190,0,217,43,43,3.167233943939209
raspberryio,190,0,220,44,44,3.11837100982666
raspberryio,190,0,222,44,44,3.1473960876464844
raspberryio,190,0,225,45,45,3.1266350746154785
raspberryio,190,0,228,45,45,3.1304171085357666
raspberryio,190,0,231,46,46,3.086621046066284
raspberryio,190,0,233,46,46,3.1368329524993896
raspberryio,190,0,236,47,47,3.149411916732788
raspberryio,190,0,239,47,47,3.1042051315307617
raspberryio,190,0,242,48,48,3.1459929943084717
raspberryio,190,0,244,48,48,3.1749749183654785
raspberryio,190,0,247,49,49,3.1644601821899414
raspberryio,190,0,250,50,50,3.176254987716675
raspberryio,190,0,253,50,50,3.133586883544922
raspberryio,190,0,255,51,51,3.16884708404541
raspberryio,190,0,258,51,51,3.168164014816284
raspberryio,190,0,261,52,52,3.103667974472046
raspberryio,190,0,264,52,52,3.1145458221435547
raspberryio,190,0,266,53,53,3.1412580013275146
raspberryio,190,0,269,53,53,3.194195032119751
raspberryio,190,0,272,54,54,3.1557681560516357
raspberryio,190,0,275,55,55,3.1844840049743652
